Timestamp,RA,Dec
01:28.6,240.1788174,80.83094306
01:28.7,240.6710213,81.47004948
01:28.8,240.6710213,81.47004948
01:28.9,240.6710213,81.47004948
01:29.0,241.4018182,82.43813875
01:29.2,241.4018182,82.43813875
01:29.3,241.8733751,83.07402204
01:29.4,241.8733751,83.07402204
01:29.5,242.3633393,83.75259546
01:29.6,242.3633393,83.75259546
01:29.7,242.6850213,84.2081113
01:29.8,242.6850213,84.2081113
01:29.9,243.0174585,84.69762335
01:30.0,243.0174585,84.69762335
01:30.1,243.0174585,84.69762335
01:30.3,243.6475006,85.69318024
01:30.3,243.6475006,85.69318024
01:30.5,243.9948122,86.32647835
01:30.6,243.9948122,86.32647835
01:30.7,243.9948122,86.32647835
01:30.8,244.2704366,86.95808931
01:31.0,244.2704366,86.95808931
01:31.0,244.4190383,87.61558538
01:31.1,244.4190383,87.61558538
01:31.2,244.2844182,88.24583924
01:31.4,244.2844182,88.24583924
01:31.5,243.7512304,88.72936189
01:31.6,243.7512304,88.72936189
01:31.7,239.2634674,89.5046723
01:31.8,239.2634674,89.5046723
01:31.9,239.2634674,89.5046723
01:32.0,94.4529873,89.80973195
01:32.1,94.4529873,89.80973195
01:32.2,74.31120092,89.16771487
01:32.4,74.31120092,89.16771487
01:32.4,72.69130288,88.68081071
01:32.5,72.69130288,88.68081071
01:32.7,72.10569927,88.04641929
01:32.8,72.10569927,88.04641929
01:32.9,72.06637173,87.41367521
01:33.0,72.06637173,87.41367521
01:33.2,72.25917621,86.75932637
01:33.2,72.25917621,86.75932637
01:33.3,72.25917621,86.75932637
01:33.4,72.56655418,86.10562669
01:33.6,72.56655418,86.10562669
01:33.6,72.92336708,85.48106919
01:33.7,72.92336708,85.48106919
01:33.8,73.22557528,85.00117841
01:34.0,73.22557528,85.00117841
01:34.1,73.66718383,84.34019066
01:34.2,73.66718383,84.34019066
01:34.3,74.10922978,83.71002857
01:34.4,74.10922978,83.71002857
01:34.5,74.45524632,83.23009058
01:34.6,74.45524632,83.23009058
01:34.8,75.06281346,82.40776377
01:34.9,75.06281346,82.40776377
01:34.9,75.06281346,82.40776377
01:35.0,75.54886734,81.76333801
